ID,Certificação,data,certificação,data,certificação ,data
1,PowerBI Data Analyst Associate,29/04/2024,,,Azure AI Enginner Associate,18/03/2021
2,,,Azure AI Enginner Associate,12/1/2022,,
3,,,PowerBI Data Analyst Associate,20/09/2021,,
4,DevOps Engineer Expert,7/3/2019,Associado Desenvolvedor Azure,21/10/2015,,
5,,,,,,
6,PowerBI Data Analyst Associate,7/3/2023,,,,
7,,,Analista de Dados Associado de Power BI,5/2/2024,,
8,PowerBI Data Analyst Associate,1/8/2022,,,,
9,,,PowerBI Data Analyst Associate,30/05/2022,,
10,,,,,,
11,Engenheiro de Segurança Associado do Azure,16/07/2025,,,,
12,,,,,,
13,,,,,Administrador Associado de Identidade e Acesso,
14,Cybersecurity Architec Expert,6/9/2023,"Conceitos básicos de segurança, conformidade e identidade",10/5/2021,Administrador Associado de Identidade e Acesso,25/11/2020
15,,,Engenheiro de Segurança Associado do Azure,3/4/2023,,
16,PowerBI Data Analyst Associate,16/12/2021,,,,
17,,,,,,
18,,,,,,
19,,,Analista de Dados Associado de Power BI,19/08/2020,,
20,,,,,,
21,,,,,,
22,,,Azure AI Enginner Associate,22/08/2024,,
23,,,,,,
24,,,,,,
25,Analista de Dados Associado de Power BI,25/01/2021,,,,
26,,,Azure Data Fundamentals,17/01/2022,Analista de Dados Associado de Power BI,16/07/2025
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,PowerBI Data Analyst Associate,2/6/2020,,,,
32,,,,,,
33,Azure AI Enginner Associate,15/05/2020,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,PowerBI Data Analyst Associate,26/06/2023,Engenheiros de Dados Associado do Fabric,13/05/2025
41,Analista de Dados Associado de Power BI,8/5/2023,,,,
42,,,,,,
43,,,,,,
44,,,,,Analista de Dados Associado de Power BI,15/05/2020
45,Analista de Dados Associado de Power BI,3/10/2022,,,,
46,,,,,,
47,,,,,,
48,Especialista em Administrador,26/01/2018,,,,
49,,,,,,
50,,,,,,
51,Especialista em Administrador,13/09/2017,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,Analista de Dados Associado de Power BI,27/05/2020
56,,,,,,
57,Analista de Dados Associado de Power BI,17/06/2025,Conceitos básicos de dados do Azure,,,
58,,,Analista de Dados Associado de Power BI,14/03/2024,Conceitos básicos de dados do Azure,17/01/2022
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,Analista de Dados Associado de Power BI,10/11/2020,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,PowerBI Data Analyst Associate,7/10/2021,,
71,,,,,,
72,,,,,,
73,,,,,Analista de Dados Associado de Power BI,1/3/2021
74,,,,,,
75,Administrator Expert,27/09/2023,,,,
76,,,,,,
77,,,PowerBI Data Analyst Associate,6/1/2025,Conceitos básicos de dados do Azure,4/9/2024
78,,,,,,
79,,,,,,
80,,,Conceitos básicos de dados do Azure,12/3/2020,PowerBI Data Analyst Associate,10/6/2024
