Data,Id
1/3/2002,1
15/06/2002  ,2
22/09/2002  ,3
5/12/2002,4
18/03/2003  ,5
30/07/2003  ,6
12/11/2003,7
8/1/2004,8
25/04/2004  ,9
14/08/2004  ,10
3/10/2004,11
19/02/2005  ,12
7/5/2005,13
21/09/2005  ,14
11/12/2005,15
6/3/2006,16
17/07/2006  ,17
29/10/2006  ,18
9/1/2007,19
24/04/2007  ,20
13/08/2007  ,21
2/11/2007,22
16/02/2008  ,23
4/6/2008,24
20/09/2008  ,25
8/12/2008,26
27/03/2009  ,27
15/07/2009  ,28
28/10/2009  ,29
10/1/2010,30
22/05/2010  ,31
14/09/2010  ,32
3/12/2010,33
19/04/2011  ,34
7/8/2011,35
25/11/2011  ,36
12/2/2012,37
30/05/2012  ,38
18/09/2012  ,39
5/1/2013,40
21/04/2013  ,41
9/8/2013,42
27/11/2013  ,43
13/03/2014  ,44
1/7/2014,45
20/10/2014  ,46
6/2/2015,47
24/05/2015  ,48
16/09/2015  ,49
4/12/2015,50
22/04/2016  ,51
10/8/2016,52
29/11/2016  ,53
15/03/2017  ,54
2/7/2017,55
19/10/2017  ,56
8/1/2018,57
25/04/2018  ,58
13/08/2018  ,59
1/12/2018,60
18/03/2019  ,61
6/7/2019,62
23/10/2019  ,63
11/2/2020,64
30/05/2020  ,65
17/09/2020  ,66
5/1/2021,67
22/04/2021  ,68
10/8/2021,69
28/11/2021  ,70
14/03/2022  ,71
2/7/2022,72
20/10/2022  ,73
9/2/2023,74
27/06/2023  ,75
15/10/2023  ,76
3/2/2024,77
21/05/2024  ,78
3/2/2024,79
21/05/2024  ,80
