idColaborador,Certificacao,Data
1,Analista de Dados Associado de Power BI,2024-04-29
4,DevOps Engineer Expert,2019-03-07
6,Analista de Dados Associado de Power BI,2023-03-07
8,Analista de Dados Associado de Power BI,2022-08-01
11,Engenheiro de Segurança Associado do Azure,2025-07-16
14,Cybersecurity Architec Expert,2023-09-06
16,Analista de Dados Associado de Power BI,2021-12-16
25,Analista de Dados Associado de Power BI,2021-01-25
31,Analista de Dados Associado de Power BI,2020-06-02
33,Azure AI Enginner Associate,2020-05-15
41,Analista de Dados Associado de Power BI,2023-05-08
45,Analista de Dados Associado de Power BI,2022-10-03
48,Especialista em Administrador,2018-01-26
51,Especialista em Administrador,2017-09-13
57,Analista de Dados Associado de Power BI,2025-06-17
65,Analista de Dados Associado de Power BI,2020-11-10
75,Especialista em Administrador,2023-09-27
2,Azure AI Enginner Associate,2022-01-12
3,Analista de Dados Associado de Power BI,2021-09-20
4,Associado Desenvolvedor Azure,2015-10-21
7,Analista de Dados Associado de Power BI,2024-02-05
9,Analista de Dados Associado de Power BI,2022-05-30
14,"Conceitos básicos de segurança, conformidade e identidade",2021-05-10
15,Engenheiro de Segurança Associado do Azure,2023-04-03
19,Analista de Dados Associado de Power BI,2020-08-19
22,Azure AI Enginner Associate,2024-08-22
26,Conceitos básicos de dados do Azure,2022-01-17
40,Analista de Dados Associado de Power BI,2023-06-26
58,Analista de Dados Associado de Power BI,2024-03-14
70,Analista de Dados Associado de Power BI,2021-10-07
77,Analista de Dados Associado de Power BI,2025-01-06
80,Conceitos básicos de dados do Azure,2020-03-12
1,Azure AI Enginner Associate,2021-03-18
14,Administrador Associado de Identidade e Acesso,2020-11-25
26,Analista de Dados Associado de Power BI,2025-07-16
40,Engenheiros de Dados Associado do Fabric,2025-05-13
44,Analista de Dados Associado de Power BI,2020-05-15
55,Analista de Dados Associado de Power BI,2020-05-27
58,Conceitos básicos de dados do Azure,2022-01-17
73,Analista de Dados Associado de Power BI,2021-03-01
77,Conceitos básicos de dados do Azure,2024-09-04
80,Analista de Dados Associado de Power BI,2024-06-10
