idData_Admissao,Data_Admissao
1,2002-03-01
2,2002-06-15
3,2002-09-22
4,2002-12-05
5,2003-03-18
6,2003-07-30
7,2003-11-12
8,2004-01-08
9,2004-04-25
10,2004-08-14
11,2004-10-03
12,2005-02-19
13,2005-05-07
14,2005-09-21
15,2005-12-11
16,2006-03-06
17,2006-07-17
18,2006-10-29
19,2007-01-09
20,2007-04-24
21,2007-08-13
22,2007-11-02
23,2008-02-16
24,2008-06-04
25,2008-09-20
26,2008-12-08
27,2009-03-27
28,2009-07-15
29,2009-10-28
30,2010-01-10
31,2010-05-22
32,2010-09-14
33,2010-12-03
34,2011-04-19
35,2011-08-07
36,2011-11-25
37,2012-02-12
38,2012-05-30
39,2012-09-18
40,2013-01-05
41,2013-04-21
42,2013-08-09
43,2013-11-27
44,2014-03-13
45,2014-07-01
46,2014-10-20
47,2015-02-06
48,2015-05-24
49,2015-09-16
50,2015-12-04
51,2016-04-22
52,2016-08-10
53,2016-11-29
54,2017-03-15
55,2017-07-02
56,2017-10-19
57,2018-01-08
58,2018-04-25
59,2018-08-13
60,2018-12-01
61,2019-03-18
62,2019-07-06
63,2019-10-23
64,2020-02-11
65,2020-05-30
66,2020-09-17
67,2021-01-05
68,2021-04-22
69,2021-08-10
70,2021-11-28
71,2022-03-14
72,2022-07-02
73,2022-10-20
74,2023-02-09
75,2023-06-27
76,2023-10-15
77,2024-02-03
78,2024-05-21
