idColaborador,Formação Acadêmica
7,Ensino Médio Completo
8,Tecnólogo em Análise de Sistemas
9,Sistemas de Informação
10,Ensino Médio Completo
11,Engenharia de Software
12,Engenharia de Software
13,Tecnólogo em Análise de Sistemas
14,Tecnólogo em Análise de Sistemas
15,Tecnólogo em Análise de Sistemas
16,Bacharelado em Ciência da Computação
17,Tecnólogo em Análise de Sistemas
18,Sistemas de Informação
19,Ensino Médio Completo
20,Engenharia de Software
21,Bacharelado em Ciência da Computação
22,Bacharelado em Ciência da Computação
23,Ensino Médio Completo
24,Tecnólogo em Análise de Sistemas
25,Tecnólogo em Análise de Sistemas
26,Ensino Médio Completo
27,Ensino Médio Completo
28,Ensino Médio Completo
29,Tecnólogo em Análise de Sistemas
30,Ensino Médio Completo
2,Sistemas de Informação
3,Tecnólogo em Análise de Sistemas
4,Sistemas de Informação
5,Ensino Médio Completo
6,Tecnólogo em Análise de Sistemas
31,Sistemas de Informação
1,Engenharia de Software
32,Bacharelado em Ciência da Computação
33,Ensino Médio Completo
34,Sistemas de Informação
35,Engenharia de Software
36,Sistemas de Informação
37,Bacharelado em Ciência da Computação
38,Engenharia de Software
39,Engenharia de Software
40,Tecnólogo em Análise de Sistemas
41,Engenharia de Software
42,Ensino Médio Completo
43,Bacharelado em Ciência da Computação
44,Engenharia de Software
45,Engenharia de Software
46,Tecnólogo em Análise de Sistemas
47,Ensino Médio Completo
48,Ensino Médio Completo
49,Ensino Médio Completo
50,Ensino Médio Completo
51,Sistemas de Informação
52,Tecnólogo em Análise de Sistemas
53,Sistemas de Informação
54,Tecnólogo em Análise de Sistemas
55,Engenharia de Software
56,Sistemas de Informação
57,Engenharia de Software
58,Bacharelado em Ciência da Computação
59,Engenharia de Software
60,Tecnólogo em Análise de Sistemas
61,Bacharelado em Ciência da Computação
62,Tecnólogo em Análise de Sistemas
63,Ensino Médio Completo
64,Ensino Médio Completo
65,Engenharia de Software
66,Sistemas de Informação
67,Ensino Médio Completo
68,Bacharelado em Ciência da Computação
69,Bacharelado em Ciência da Computação
70,Engenharia de Software
71,Engenharia de Software
72,Engenharia de Software
73,Sistemas de Informação
74,Bacharelado em Ciência da Computação
75,Sistemas de Informação
76,Sistemas de Informação
77,Tecnólogo em Análise de Sistemas
78,Engenharia de Software
79,Engenharia de Software
80,Bacharelado em Ciência da Computação
