idColaborador,Situacao_PCD,Id_pcd
7,Não,1
8,Não,2
9,Não,3
10,Não,4
11,Não,5
12,Sim,6
13,Não,7
14,Não,8
15,Não,9
16,Não,10
17,Não,11
18,Sim,12
19,Não,13
20,Não,14
21,Não,15
22,Não,16
23,Não,17
24,Não,18
25,Não,19
26,Não,20
27,Não,21
28,Não,22
29,Não,23
30,Não,24
2,Não,25
3,Sim,26
4,Não,27
5,Não,28
6,Não,29
31,Não,30
1,Não,31
32,Não,32
33,Não,33
34,Não,34
35,Não,35
36,Não,36
37,Não,37
38,Não,38
39,Sim,39
40,Não,40
41,Não,41
42,Não,42
43,Não,43
44,Não,44
45,Não,45
46,Não,46
47,Não,47
48,Não,48
49,Não,49
50,Não,50
51,Não,51
52,Não,52
53,Não,53
54,Não,54
55,Não,55
56,Não,56
57,Não,57
58,Não,58
59,Sim,59
60,Não,60
61,Não,61
62,Não,62
63,Não,63
64,Não,64
65,Não,65
66,Não,66
67,Não,67
68,Não,68
69,Não,69
70,Sim,70
71,Não,71
72,Não,72
73,Não,73
74,Não,74
75,Não,75
76,Não,76
77,Não,77
78,Não,78
79,Não,79
80,Não,80
