idColaborador,Soft Skills
1,Foco em resultados
1,Resiliência
1,Capacidade de liderança
1,Aprendizado contínuo
1,Colaboração
2,Visão sistêmica
2,Colaboração
2,Trabalho interdisciplinar
2,Aprendizado contínuo
2,Proatividade
3,Autonomia
3,Resiliência
3,Responsabilidade
3,Gestão de prioridades
3,Curiosidade
4,Capacidade de liderança
4,Gestão de prioridades
4,Negociação
5,Pensamento analítico
5,Adaptabilidade
5,Proatividade
5,Aprendizado contínuo
6,Gestão de prioridades
6,Pensamento analítico
6,Trabalho interdisciplinar
7,Responsabilidade
7,Negociação
8,Capacidade de liderança
8,Foco em resultados
8,Inteligência emocional
8,Resolução de problemas
8,Gestão do tempo
9,Gestão do tempo
9,Visão sistêmica
10,Capacidade de liderança
10,Resiliência
10,Habilidades de comunicação
11,Negociação
11,Foco em resultados
11,Proatividade
11,Capacidade de liderança
12,Habilidades de comunicação
12,Pensamento crítico
12,Dar e receber feedback
12,Autonomia
12,Resolução de problemas
13,Dar e receber feedback
13,Resolução de problemas
13,Visão sistêmica
14,Capacidade de liderança
14,Criatividade
14,Proatividade
14,Trabalho interdisciplinar
14,Habilidades de comunicação
15,Criatividade
15,Capacidade de liderança
15,Trabalho interdisciplinar
15,Adaptabilidade
15,Proatividade
16,Aprendizado contínuo
16,Resolução de problemas
17,Dar e receber feedback
17,Colaboração
17,Trabalho interdisciplinar
18,Gestão de prioridades
18,Resiliência
18,Atenção aos detalhes
19,Trabalho interdisciplinar
19,Foco em resultados
20,Empatia
20,Ética profissional
20,Resolução de problemas
20,Criatividade
20,Gestão de prioridades
21,Resiliência
21,Atenção aos detalhes
21,Pensamento analítico
21,Pensamento crítico
22,Trabalho interdisciplinar
22,Gestão de prioridades
22,Curiosidade
23,Inteligência emocional
23,Foco em resultados
23,Criatividade
23,Aprendizado contínuo
24,Negociação
24,Empatia
24,Ética profissional
24,Responsabilidade
24,Criatividade
25,Curiosidade
25,Pensamento crítico
25,Negociação
26,Ética profissional
26,Negociação
27,Criatividade
27,Inteligência emocional
27,Curiosidade
27,Responsabilidade
28,Curiosidade
28,Colaboração
28,Habilidades de comunicação
29,Criatividade
29,Visão sistêmica
29,Gestão do tempo
29,Resolução de problemas
29,Ética profissional
30,Proatividade
30,Empatia
30,Resiliência
31,Dar e receber feedback
31,Gestão de prioridades
31,Empatia
31,Ética profissional
32,Aprendizado contínuo
32,Visão sistêmica
32,Autonomia
32,Gestão do tempo
32,Adaptabilidade
33,Criatividade
33,Dar e receber feedback
33,Negociação
33,Gestão de prioridades
33,Pensamento crítico
34,Pensamento analítico
34,Resiliência
34,Gestão do tempo
35,Foco em resultados
35,Dar e receber feedback
36,Pensamento analítico
36,Criatividade
36,Empatia
36,Capacidade de liderança
36,Trabalho interdisciplinar
37,Criatividade
37,Autonomia
37,Adaptabilidade
38,Capacidade de liderança
38,Empatia
38,Aprendizado contínuo
38,Curiosidade
39,Pensamento analítico
39,Proatividade
39,Autonomia
39,Gestão do tempo
39,Capacidade de liderança
40,Gestão de prioridades
40,Criatividade
40,Responsabilidade
40,Colaboração
40,Negociação
41,Empatia
41,Gestão de prioridades
41,Proatividade
42,Capacidade de liderança
42,Foco em resultados
42,Empatia
42,Inteligência emocional
42,Atenção aos detalhes
43,Foco em resultados
43,Dar e receber feedback
43,Colaboração
44,Ética profissional
44,Gestão de prioridades
44,Autonomia
45,Atenção aos detalhes
45,Foco em resultados
45,Autonomia
45,Trabalho interdisciplinar
45,Criatividade
46,Pensamento analítico
46,Visão sistêmica
46,Resolução de problemas
46,Negociação
46,Capacidade de liderança
47,Negociação
47,Autonomia
47,Colaboração
47,Habilidades de comunicação
48,Negociação
48,Colaboração
48,Pensamento analítico
48,Ética profissional
49,Aprendizado contínuo
49,Pensamento crítico
49,Empatia
50,Pensamento analítico
50,Foco em resultados
50,Trabalho interdisciplinar
51,Dar e receber feedback
51,Adaptabilidade
51,Pensamento analítico
51,Capacidade de liderança
52,Trabalho interdisciplinar
52,Habilidades de comunicação
52,Aprendizado contínuo
52,Resolução de problemas
53,Capacidade de liderança
53,Habilidades de comunicação
53,Trabalho interdisciplinar
54,Dar e receber feedback
54,Gestão de prioridades
54,Trabalho interdisciplinar
55,Trabalho interdisciplinar
55,Foco em resultados
56,Autonomia
56,Resiliência
57,Dar e receber feedback
57,Atenção aos detalhes
58,Resiliência
58,Criatividade
58,Dar e receber feedback
59,Curiosidade
59,Capacidade de liderança
60,Autonomia
60,Empatia
60,Negociação
60,Visão sistêmica
60,Gestão do tempo
61,Curiosidade
61,Pensamento crítico
62,Empatia
62,Visão sistêmica
62,Resolução de problemas
63,Resolução de problemas
63,Ética profissional
63,Autonomia
63,Pensamento analítico
64,Negociação
64,Autonomia
64,Inteligência emocional
64,Trabalho interdisciplinar
64,Pensamento crítico
65,Ética profissional
65,Trabalho interdisciplinar
65,Atenção aos detalhes
66,Habilidades de comunicação
66,Pensamento analítico
66,Inteligência emocional
66,Dar e receber feedback
67,Visão sistêmica
67,Pensamento crítico
67,Empatia
67,Criatividade
68,Criatividade
68,Resiliência
68,Foco em resultados
68,Capacidade de liderança
69,Inteligência emocional
69,Aprendizado contínuo
70,Resiliência
70,Dar e receber feedback
70,Atenção aos detalhes
71,Capacidade de liderança
71,Colaboração
72,Aprendizado contínuo
72,Habilidades de comunicação
72,Curiosidade
73,Curiosidade
73,Adaptabilidade
73,Negociação
73,Habilidades de comunicação
73,Capacidade de liderança
74,Empatia
74,Criatividade
75,Criatividade
75,Dar e receber feedback
75,Habilidades de comunicação
75,Inteligência emocional
75,Adaptabilidade
76,Empatia
76,Resolução de problemas
77,Gestão de prioridades
77,Foco em resultados
77,Resolução de problemas
77,Capacidade de liderança
78,Empatia
78,Resolução de problemas
78,Colaboração
79,Adaptabilidade
79,Capacidade de liderança
80,Dar e receber feedback
80,Resiliência
80,Capacidade de liderança
