idColaborador,Treinamentos Realizados
7,Excel Avançado
7,Segurança da Informação
8,Segurança da Informação
9,Scrum Foundation
10,Desenvolvimento Web com React
10,Excel Avançado
10,Segurança da Informação
11,Desenvolvimento Web com React
11,Segurança da Informação
12,Excel Avançado
13,Desenvolvimento Web com React
13,Excel Avançado
13,Segurança da Informação
14,Excel Avançado
14,Scrum Foundation
15,Segurança da Informação
15,Excel Avançado
15,Curso de Power BI
16,Scrum Foundation
17,Desenvolvimento Web com React
17,Scrum Foundation
17,Excel Avançado
18,Segurança da Informação
18,Scrum Foundation
19,Desenvolvimento Web com React
19,Scrum Foundation
20,Excel Avançado
20,Desenvolvimento Web com React
21,Segurança da Informação
21,Excel Avançado
22,Scrum Foundation
22,Desenvolvimento Web com React
22,Excel Avançado
23,Desenvolvimento Web com React
23,Segurança da Informação
23,Excel Avançado
24,Curso de Power BI
25,Segurança da Informação
25,Scrum Foundation
26,Curso de Power BI
26,Desenvolvimento Web com React
26,Segurança da Informação
27,Excel Avançado
27,Segurança da Informação
27,Desenvolvimento Web com React
28,Desenvolvimento Web com React
28,Excel Avançado
29,Desenvolvimento Web com React
29,Scrum Foundation
29,Excel Avançado
30,Curso de Power BI
30,Scrum Foundation
30,Segurança da Informação
2,Excel Avançado
2,Segurança da Informação
3,Excel Avançado
3,Scrum Foundation
4,Desenvolvimento Web com React
5,Segurança da Informação
5,Desenvolvimento Web com React
5,Scrum Foundation
6,Curso de Power BI
6,Scrum Foundation
31,Desenvolvimento Web com React
31,Excel Avançado
31,Curso de Power BI
1,Curso de Power BI
1,Desenvolvimento Web com React
1,Excel Avançado
32,Excel Avançado
33,Segurança da Informação
34,Segurança da Informação
35,Segurança da Informação
35,Scrum Foundation
36,Segurança da Informação
36,Desenvolvimento Web com React
37,Curso de Power BI
38,Scrum Foundation
39,Excel Avançado
39,Curso de Power BI
40,Scrum Foundation
40,Segurança da Informação
40,Curso de Power BI
41,Scrum Foundation
42,Scrum Foundation
42,Excel Avançado
43,Curso de Power BI
44,Desenvolvimento Web com React
44,Segurança da Informação
45,Desenvolvimento Web com React
46,Segurança da Informação
46,Desenvolvimento Web com React
47,Segurança da Informação
47,Desenvolvimento Web com React
48,Scrum Foundation
49,Segurança da Informação
49,Curso de Power BI
50,Excel Avançado
50,Curso de Power BI
51,Excel Avançado
52,Desenvolvimento Web com React
53,Excel Avançado
54,Curso de Power BI
54,Desenvolvimento Web com React
54,Excel Avançado
55,Scrum Foundation
56,Segurança da Informação
57,Desenvolvimento Web com React
57,Curso de Power BI
58,Scrum Foundation
59,Curso de Power BI
59,Desenvolvimento Web com React
59,Scrum Foundation
60,Scrum Foundation
60,Desenvolvimento Web com React
60,Curso de Power BI
61,Segurança da Informação
62,Segurança da Informação
62,Excel Avançado
62,Desenvolvimento Web com React
63,Desenvolvimento Web com React
64,Curso de Power BI
65,Scrum Foundation
66,Segurança da Informação
67,Scrum Foundation
67,Segurança da Informação
67,Curso de Power BI
68,Scrum Foundation
69,Curso de Power BI
70,Scrum Foundation
70,Curso de Power BI
70,Desenvolvimento Web com React
71,Segurança da Informação
71,Scrum Foundation
71,Excel Avançado
72,Excel Avançado
73,Scrum Foundation
73,Excel Avançado
73,Curso de Power BI
74,Segurança da Informação
75,Excel Avançado
75,Curso de Power BI
76,Excel Avançado
76,Segurança da Informação
77,Segurança da Informação
78,Segurança da Informação
78,Curso de Power BI
78,Scrum Foundation
79,Curso de Power BI
80,Desenvolvimento Web com React
80,Segurança da Informação
80,Curso de Power BI
