idCidade,Cidade,latitude,longitude
1,Niterói,-22.8884,-43.1147
2,São Paulo,-23.5506507,-46.6333824
3,Santos,-23.9335988,-46.3286399
4,Feira de Santana,-12.2578934,-38.9598047
5,Contagem,-19.9132749,-44.0840953
6,Juazeiro do Norte,-7.2153453,-39.3153336
7,São Luís,-2.5295265,-44.2963942
8,Rio de Janeiro,-22.9110137,-43.2093727
9,Florianópolis,-27.5973002,-48.5496098
10,Caxias do Sul,-29.1685045,-51.1796385
11,Londrina,-23.3112878,-51.1595023
12,Cuiabá,-15.5986686,-56.0991301
13,Brasília,-15.7939869,-47.8828
14,Maceió,-9.6476843,-35.7339264
15,Nova Iguaçu,-22.7592175,-43.4508728
16,Goiânia,-16.680882,-49.2532691
17,Natal,-5.805398,-35.2080905
18,Boa Vista,2.8208478,-60.6719582
19,Palmas,-10.1837852,-48.3336423
20,Porto Alegre,-30.0324999,-51.2303767
21,Campinas,-22.9056391,-47.059564
