idColaborador,idCertificacao,Data
1,1,2024-04-29
4,2,2019-03-07
6,1,2023-03-07
8,1,2022-08-01
11,3,2025-07-16
14,4,2023-09-06
16,1,2021-12-16
25,1,2021-01-25
31,1,2020-06-02
33,5,2020-05-15
41,1,2023-05-08
45,1,2022-10-03
48,6,2018-01-26
51,6,2017-09-13
57,1,2025-06-17
65,1,2020-11-10
75,6,2023-09-27
2,5,2022-01-12
3,1,2021-09-20
4,7,2015-10-21
7,1,2024-02-05
9,1,2022-05-30
14,8,2021-05-10
15,3,2023-04-03
19,1,2020-08-19
22,5,2024-08-22
26,9,2022-01-17
40,1,2023-06-26
58,1,2024-03-14
70,1,2021-10-07
77,1,2025-01-06
80,9,2020-03-12
1,5,2021-03-18
14,10,2020-11-25
26,1,2025-07-16
40,11,2025-05-13
44,1,2020-05-15
55,1,2020-05-27
58,9,2022-01-17
73,1,2021-03-01
77,9,2024-09-04
80,1,2024-06-10
