id,idColaborador,Id_Competencia
135,1,2
136,1,7
137,1,9
138,2,1
139,2,4
140,3,3
141,3,7
142,3,9
144,4,2
145,4,6
146,5,1
147,5,3
148,6,4
149,6,8
150,7,6
151,8,5
152,8,8
153,9,2
154,10,1
155,10,5
157,11,3
158,12,7
159,12,8
160,13,6
161,13,9
162,14,2
163,14,3
164,15,4
165,16,6
166,17,2
167,17,7
168,18,1
170,19,3
171,20,5
172,20,6
173,21,1
174,21,2
175,22,9
176,23,7
178,24,4
179,25,8
181,26,3
182,27,6
183,27,9
184,28,1
185,29,5
186,30,2
187,30,3
188,30,7
189,31,4
190,32,6
191,32,8
192,33,5
194,34,1
195,34,2
196,35,3
197,35,9
198,36,6
199,37,2
200,38,4
201,39,8
202,40,1
203,40,7
204,41,3
206,42,5
207,42,6
208,43,2
209,43,8
210,44,1
211,44,4
212,45,3
213,45,9
214,46,2
215,46,5
216,47,1
217,47,4
218,47,8
219,48,3
220,49,2
221,49,9
223,50,1
224,50,6
225,50,7
226,51,4
227,52,3
228,52,5
229,53,2
230,53,8
232,54,1
233,54,9
234,55,3
235,55,6
236,56,2
237,57,5
238,58,4
239,58,7
240,59,6
242,60,1
243,60,8
244,61,2
245,61,3
246,61,9
247,62,5
248,63,1
249,63,4
250,63,6
251,64,7
252,65,2
253,66,8
255,67,3
256,67,5
257,68,1
258,68,6
259,69,4
260,70,2
261,70,7
262,71,9
263,72,3
265,73,5
266,73,8
267,74,1
268,75,6
269,75,9
270,76,2
271,76,4
272,77,3
273,77,7
274,78,1
275,78,5
277,79,6
278,80,2
279,80,3
280,80,9
