idSoft_Skills,Soft_Skills
1,Foco em resultados
2,Resiliência
3,Capacidade de liderança
4,Aprendizado contínuo
5,Colaboração
6,Visão sistêmica
7,Trabalho interdisciplinar
8,Proatividade
9,Autonomia
10,Responsabilidade
11,Gestão de prioridades
12,Curiosidade
13,Negociação
14,Pensamento analítico
15,Adaptabilidade
16,Inteligência emocional
17,Resolução de problemas
18,Gestão do tempo
19,Habilidades de comunicação
20,Pensamento crítico
21,Dar e receber feedback
22,Criatividade
23,Atenção aos detalhes
24,Empatia
25,Ética profissional
