idColaborador,idSoft_Skills
1,1
1,2
1,3
1,4
1,5
2,6
2,5
2,7
2,4
2,8
3,9
3,2
3,10
3,11
3,12
4,3
4,11
4,13
5,14
5,15
5,8
5,4
6,11
6,14
6,7
7,10
7,13
8,3
8,1
8,16
8,17
8,18
9,18
9,6
10,3
10,2
10,19
11,13
11,1
11,8
11,3
12,19
12,20
12,21
12,9
12,17
13,21
13,17
13,6
14,3
14,22
14,8
14,7
14,19
15,22
15,3
15,7
15,15
15,8
16,4
16,17
17,21
17,5
17,7
18,11
18,2
18,23
19,7
19,1
20,24
20,25
20,17
20,22
20,11
21,2
21,23
21,14
21,20
22,7
22,11
22,12
23,16
23,1
23,22
23,4
24,13
24,24
24,25
24,10
24,22
25,12
25,20
25,13
26,25
26,13
27,22
27,16
27,12
27,10
28,12
28,5
28,19
29,22
29,6
29,18
29,17
29,25
30,8
30,24
30,2
31,21
31,11
31,24
31,25
32,4
32,6
32,9
32,18
32,15
33,22
33,21
33,13
33,11
33,20
34,14
34,2
34,18
35,1
35,21
36,14
36,22
36,24
36,3
36,7
37,22
37,9
37,15
38,3
38,24
38,4
38,12
39,14
39,8
39,9
39,18
39,3
40,11
40,22
40,10
40,5
40,13
41,24
41,11
41,8
42,3
42,1
42,24
42,16
42,23
43,1
43,21
43,5
44,25
44,11
44,9
45,23
45,1
45,9
45,7
45,22
46,14
46,6
46,17
46,13
46,3
47,13
47,9
47,5
47,19
48,13
48,5
48,14
48,25
49,4
49,20
49,24
50,14
50,1
50,7
51,21
51,15
51,14
51,3
52,7
52,19
52,4
52,17
53,3
53,19
53,7
54,21
54,11
54,7
55,7
55,1
56,9
56,2
57,21
57,23
58,2
58,22
58,21
59,12
59,3
60,9
60,24
60,13
60,6
60,18
61,12
61,20
62,24
62,6
62,17
63,17
63,25
63,9
63,14
64,13
64,9
64,16
64,7
64,20
65,25
65,7
65,23
66,19
66,14
66,16
66,21
67,6
67,20
67,24
67,22
68,22
68,2
68,1
68,3
69,16
69,4
70,2
70,21
70,23
71,3
71,5
72,4
72,19
72,12
73,12
73,15
73,13
73,19
73,3
74,24
74,22
75,22
75,21
75,19
75,16
75,15
76,24
76,17
77,11
77,1
77,17
77,3
78,24
78,17
78,5
79,15
79,3
80,21
80,2
80,3
